,Song Name,Artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,Circles,Post Malone,0.695,0.762,0.0,-3.497,1.0,0.0395,0.192,0.00244,0.0863,0.553,120.042,audio_features,21jGcNKet2qwijlDFuPiPb,spotify:track:21jGcNKet2qwijlDFuPiPb,https://api.spotify.com/v1/tracks/21jGcNKet2qwijlDFuPiPb,https://api.spotify.com/v1/audio-analysis/21jGcNKet2qwijlDFuPiPb,215280.0,4.0
1,Ransom,Lil Tecca,0.745,0.642,7.0,-6.257,0.0,0.287,0.0204,0.0,0.0658,0.226,179.974,audio_features,1lOe9qE0vR9zwWQAOk6CoO,spotify:track:1lOe9qE0vR9zwWQAOk6CoO,https://api.spotify.com/v1/tracks/1lOe9qE0vR9zwWQAOk6CoO,https://api.spotify.com/v1/audio-analysis/1lOe9qE0vR9zwWQAOk6CoO,131240.0,4.0
2,BOP,DaBaby,0.769,0.787,11.0,-3.909,1.0,0.367,0.189,0.0,0.129,0.836,126.77,audio_features,6Ozh9Ok6h4Oi1wUSLtBseN,spotify:track:6Ozh9Ok6h4Oi1wUSLtBseN,https://api.spotify.com/v1/tracks/6Ozh9Ok6h4Oi1wUSLtBseN,https://api.spotify.com/v1/audio-analysis/6Ozh9Ok6h4Oi1wUSLtBseN,159715.0,4.0
3,Truth Hurts,Lizzo,0.715,0.624,4.0,-3.046,0.0,0.114,0.11,0.0,0.123,0.412,158.087,audio_features,5qmq61DAAOUaW8AUo8xKhh,spotify:track:5qmq61DAAOUaW8AUo8xKhh,https://api.spotify.com/v1/tracks/5qmq61DAAOUaW8AUo8xKhh,https://api.spotify.com/v1/audio-analysis/5qmq61DAAOUaW8AUo8xKhh,173325.0,4.0
4,223's (feat. 9lokknine),YNW Melly,0.931,0.502,0.0,-9.311,0.0,0.353,0.0389,0.0,0.0912,0.712,94.999,audio_features,4sjiIpEv617LDXaidKioOI,spotify:track:4sjiIpEv617LDXaidKioOI,https://api.spotify.com/v1/tracks/4sjiIpEv617LDXaidKioOI,https://api.spotify.com/v1/audio-analysis/4sjiIpEv617LDXaidKioOI,176640.0,4.0
6,VIBEZ,DaBaby,0.768,0.652,1.0,-2.708,0.0,0.307,0.113,0.0,0.107,0.777,154.187,audio_features,0fySG6A6qLE8IvDpayb5bM,spotify:track:0fySG6A6qLE8IvDpayb5bM,https://api.spotify.com/v1/tracks/0fySG6A6qLE8IvDpayb5bM,https://api.spotify.com/v1/audio-analysis/0fySG6A6qLE8IvDpayb5bM,144935.0,4.0
7,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,0.76,0.479,2.0,-5.574,1.0,0.0466,0.556,0.0,0.0703,0.913,89.911,audio_features,3KkXRkHbMCARz0aVfEt68P,spotify:track:3KkXRkHbMCARz0aVfEt68P,https://api.spotify.com/v1/tracks/3KkXRkHbMCARz0aVfEt68P,https://api.spotify.com/v1/audio-analysis/3KkXRkHbMCARz0aVfEt68P,158040.0,4.0
8,Saint-Tropez,Post Malone,0.617,0.684,0.0,-3.618,1.0,0.0439,0.0545,0.0,0.104,0.295,132.113,audio_features,05mDaV9Vb3wrzjF6OPZnhq,spotify:track:05mDaV9Vb3wrzjF6OPZnhq,https://api.spotify.com/v1/tracks/05mDaV9Vb3wrzjF6OPZnhq,https://api.spotify.com/v1/audio-analysis/05mDaV9Vb3wrzjF6OPZnhq,150867.0,4.0
9,Panini,Lil Nas X,0.703,0.594,5.0,-6.146,0.0,0.0752,0.342,0.0,0.123,0.475,153.848,audio_features,6fTt0CH2t0mdeB2N9XFG5r,spotify:track:6fTt0CH2t0mdeB2N9XFG5r,https://api.spotify.com/v1/tracks/6fTt0CH2t0mdeB2N9XFG5r,https://api.spotify.com/v1/audio-analysis/6fTt0CH2t0mdeB2N9XFG5r,114893.0,4.0
10,Hot (feat. Gunna),Young Thug,0.855,0.651,0.0,-8.044,0.0,0.235,0.063,0.0,0.0772,0.559,111.997,audio_features,5Z8HZM6iQMhhqyPcCGY5g9,spotify:track:5Z8HZM6iQMhhqyPcCGY5g9,https://api.spotify.com/v1/tracks/5Z8HZM6iQMhhqyPcCGY5g9,https://api.spotify.com/v1/audio-analysis/5Z8HZM6iQMhhqyPcCGY5g9,193027.0,4.0
12,No Guidance (feat. Drake),Chris Brown,0.698,0.454,1.0,-6.756,0.0,0.151,0.123,0.0,0.155,0.137,92.932,audio_features,6XHVuErjQ4XNm6nDPVCxVX,spotify:track:6XHVuErjQ4XNm6nDPVCxVX,https://api.spotify.com/v1/tracks/6XHVuErjQ4XNm6nDPVCxVX,https://api.spotify.com/v1/audio-analysis/6XHVuErjQ4XNm6nDPVCxVX,260640.0,4.0
13,Camelot,NLE Choppa,0.787,0.713,7.0,-5.252,1.0,0.401,0.0849,0.0,0.717,0.762,175.041,audio_features,4sWuPniHClkInYAnzXAYUF,spotify:track:4sWuPniHClkInYAnzXAYUF,https://api.spotify.com/v1/tracks/4sWuPniHClkInYAnzXAYUF,https://api.spotify.com/v1/audio-analysis/4sWuPniHClkInYAnzXAYUF,148759.0,4.0
14,INTRO,DaBaby,0.862,0.685,0.0,-7.699,0.0,0.242,0.0342,0.0,0.204,0.672,100.024,audio_features,77KMttn3Lic7ZQKDlPqp8v,spotify:track:77KMttn3Lic7ZQKDlPqp8v,https://api.spotify.com/v1/tracks/77KMttn3Lic7ZQKDlPqp8v,https://api.spotify.com/v1/audio-analysis/77KMttn3Lic7ZQKDlPqp8v,172800.0,4.0
15,Someone You Loved,Lewis Capaldi,0.501,0.405,1.0,-5.679,1.0,0.0319,0.751,0.0,0.105,0.446,109.891,audio_features,7qEHsqek33rTcFNT9PFqLf,spotify:track:7qEHsqek33rTcFNT9PFqLf,https://api.spotify.com/v1/tracks/7qEHsqek33rTcFNT9PFqLf,https://api.spotify.com/v1/audio-analysis/7qEHsqek33rTcFNT9PFqLf,182161.0,4.0
16,hot girl bummer,blackbear,0.778,0.559,6.0,-7.109,0.0,0.0776,0.128,0.0,0.399,0.678,129.989,audio_features,7aiClxsDWFRQ0Kzk5KI5ku,spotify:track:7aiClxsDWFRQ0Kzk5KI5ku,https://api.spotify.com/v1/tracks/7aiClxsDWFRQ0Kzk5KI5ku,https://api.spotify.com/v1/audio-analysis/7aiClxsDWFRQ0Kzk5KI5ku,185093.0,1.0
17,Enemies (feat. DaBaby),Post Malone,0.542,0.674,6.0,-4.169,1.0,0.21,0.0588,0.0,0.0955,0.667,76.388,audio_features,0Xek5rqai2jcOWCYWJfVCF,spotify:track:0Xek5rqai2jcOWCYWJfVCF,https://api.spotify.com/v1/tracks/0Xek5rqai2jcOWCYWJfVCF,https://api.spotify.com/v1/audio-analysis/0Xek5rqai2jcOWCYWJfVCF,196760.0,4.0
18,Money In The Grave (Drake ft. Rick Ross),Drake,0.831,0.502,10.0,-4.045,0.0,0.046,0.101,0.0,0.122,0.101,100.541,audio_features,5ry2OE6R2zPQFDO85XkgRb,spotify:track:5ry2OE6R2zPQFDO85XkgRb,https://api.spotify.com/v1/tracks/5ry2OE6R2zPQFDO85XkgRb,https://api.spotify.com/v1/audio-analysis/5ry2OE6R2zPQFDO85XkgRb,205427.0,4.0
19,Señorita,Shawn Mendes,0.759,0.54,9.0,-6.039,0.0,0.0287,0.037,0.0,0.0945,0.75,116.947,audio_features,0TK2YIli7K1leLovkQiNik,spotify:track:0TK2YIli7K1leLovkQiNik,https://api.spotify.com/v1/tracks/0TK2YIli7K1leLovkQiNik,https://api.spotify.com/v1/audio-analysis/0TK2YIli7K1leLovkQiNik,190960.0,4.0
20,Baby (Lil Baby feat. DaBaby),Quality Control,0.97,0.463,10.0,-7.259,1.0,0.366,0.0957,0.0,0.151,0.46,108.003,audio_features,5MPPttjfGap2C6j6eKcO6J,spotify:track:5MPPttjfGap2C6j6eKcO6J,https://api.spotify.com/v1/tracks/5MPPttjfGap2C6j6eKcO6J,https://api.spotify.com/v1/audio-analysis/5MPPttjfGap2C6j6eKcO6J,142417.0,4.0
21,bad guy,Billie Eilish,0.701,0.425,7.0,-10.965,1.0,0.375,0.328,0.13,0.1,0.562,135.128,audio_features,2Fxmhks0bxGSBdJ92vM42m,spotify:track:2Fxmhks0bxGSBdJ92vM42m,https://api.spotify.com/v1/tracks/2Fxmhks0bxGSBdJ92vM42m,https://api.spotify.com/v1/audio-analysis/2Fxmhks0bxGSBdJ92vM42m,194088.0,4.0
22,Suge,DaBaby,0.876,0.662,2.0,-6.482,0.0,0.426,0.0608,0.0,0.127,0.844,75.445,audio_features,2gwkD6igEhQbDQegRCcdoB,spotify:track:2gwkD6igEhQbDQegRCcdoB,https://api.spotify.com/v1/tracks/2gwkD6igEhQbDQegRCcdoB,https://api.spotify.com/v1/audio-analysis/2gwkD6igEhQbDQegRCcdoB,163320.0,4.0
23,Good As Hell,Lizzo,0.682,0.919,0.0,-3.18,0.0,0.0875,0.256,0.0,0.442,0.535,95.982,audio_features,3Yh9lZcWyKrK9GjbhuS0hR,spotify:track:3Yh9lZcWyKrK9GjbhuS0hR,https://api.spotify.com/v1/tracks/3Yh9lZcWyKrK9GjbhuS0hR,https://api.spotify.com/v1/audio-analysis/3Yh9lZcWyKrK9GjbhuS0hR,159736.0,4.0
24,RAW SHIT (feat. Migos),DaBaby,0.874,0.714,5.0,-4.946,1.0,0.233,0.0273,0.0,0.356,0.85,130.046,audio_features,1CCDIow4pPYyJYzhtTUYz2,spotify:track:1CCDIow4pPYyJYzhtTUYz2,https://api.spotify.com/v1/tracks/1CCDIow4pPYyJYzhtTUYz2,https://api.spotify.com/v1/audio-analysis/1CCDIow4pPYyJYzhtTUYz2,216678.0,4.0
26,Hollywood's Bleeding,Post Malone,0.405,0.646,4.0,-3.206,0.0,0.0476,0.331,0.0,0.103,0.17,130.218,audio_features,7sWRlDoTDX8geTR8zzr2vt,spotify:track:7sWRlDoTDX8geTR8zzr2vt,https://api.spotify.com/v1/tracks/7sWRlDoTDX8geTR8zzr2vt,https://api.spotify.com/v1/audio-analysis/7sWRlDoTDX8geTR8zzr2vt,156267.0,4.0
27,Beautiful People (feat. Khalid),Ed Sheeran,0.64,0.648,5.0,-8.113,0.0,0.187,0.124,0.0,0.0802,0.548,92.977,audio_features,4evmHXcjt3bTUHD1cvny97,spotify:track:4evmHXcjt3bTUHD1cvny97,https://api.spotify.com/v1/tracks/4evmHXcjt3bTUHD1cvny97,https://api.spotify.com/v1/audio-analysis/4evmHXcjt3bTUHD1cvny97,197867.0,4.0
28,Lalala,Y2K,0.843,0.391,2.0,-7.899,1.0,0.0845,0.181,0.0,0.137,0.496,129.972,audio_features,51Fjme0JiitpyXKuyQiCDo,spotify:track:51Fjme0JiitpyXKuyQiCDo,https://api.spotify.com/v1/tracks/51Fjme0JiitpyXKuyQiCDo,https://api.spotify.com/v1/audio-analysis/51Fjme0JiitpyXKuyQiCDo,160627.0,4.0
30,Memories,Maroon 5,0.764,0.32,11.0,-7.209,1.0,0.0546,0.837,0.0,0.0822,0.575,91.019,audio_features,2b8fOow8UzyDFAE27YhOZM,spotify:track:2b8fOow8UzyDFAE27YhOZM,https://api.spotify.com/v1/tracks/2b8fOow8UzyDFAE27YhOZM,https://api.spotify.com/v1/audio-analysis/2b8fOow8UzyDFAE27YhOZM,189486.0,4.0
31,How Do You Sleep?,Sam Smith,0.477,0.682,1.0,-4.931,0.0,0.0925,0.153,0.0,0.0763,0.345,110.567,audio_features,6b2RcmUt1g9N9mQ3CbjX2Y,spotify:track:6b2RcmUt1g9N9mQ3CbjX2Y,https://api.spotify.com/v1/tracks/6b2RcmUt1g9N9mQ3CbjX2Y,https://api.spotify.com/v1/audio-analysis/6b2RcmUt1g9N9mQ3CbjX2Y,202205.0,5.0
32,Graveyard,Halsey,0.667,0.583,11.0,-5.127,0.0,0.0747,0.231,4.48e-05,0.181,0.187,92.043,audio_features,6V9fHiv84WlVTg7CSnIVY2,spotify:track:6V9fHiv84WlVTg7CSnIVY2,https://api.spotify.com/v1/tracks/6V9fHiv84WlVTg7CSnIVY2,https://api.spotify.com/v1/audio-analysis/6V9fHiv84WlVTg7CSnIVY2,181806.0,4.0
34,Did It Again,Lil Tecca,0.686,0.561,10.0,-9.929,0.0,0.191,0.185,0.0,0.114,0.186,148.775,audio_features,4guBZjUyrGoHsTahO3IHdj,spotify:track:4guBZjUyrGoHsTahO3IHdj,https://api.spotify.com/v1/tracks/4guBZjUyrGoHsTahO3IHdj,https://api.spotify.com/v1/audio-analysis/4guBZjUyrGoHsTahO3IHdj,116240.0,4.0
36,Bad Bad Bad (feat. Lil Baby),Young Thug,0.974,0.596,6.0,-8.888,1.0,0.184,0.0976,0.0,0.151,0.892,111.959,audio_features,1GeNui6m825V8jP4uKiIaH,spotify:track:1GeNui6m825V8jP4uKiIaH,https://api.spotify.com/v1/tracks/1GeNui6m825V8jP4uKiIaH,https://api.spotify.com/v1/audio-analysis/1GeNui6m825V8jP4uKiIaH,149040.0,4.0
37,Panini - DaBaby Remix,Lil Nas X,0.717,0.598,5.0,-5.613,0.0,0.0809,0.22,0.0,0.122,0.496,153.905,audio_features,4SDgTLDYrJ2UrHbkRkg7MD,spotify:track:4SDgTLDYrJ2UrHbkRkg7MD,https://api.spotify.com/v1/tracks/4SDgTLDYrJ2UrHbkRkg7MD,https://api.spotify.com/v1/audio-analysis/4SDgTLDYrJ2UrHbkRkg7MD,151040.0,4.0
38,Wow.,Post Malone,0.829,0.539,11.0,-7.359,0.0,0.208,0.136,1.78e-06,0.103,0.388,99.96,audio_features,7xQAfvXzm3AkraOtGPWIZg,spotify:track:7xQAfvXzm3AkraOtGPWIZg,https://api.spotify.com/v1/tracks/7xQAfvXzm3AkraOtGPWIZg,https://api.spotify.com/v1/audio-analysis/7xQAfvXzm3AkraOtGPWIZg,149547.0,4.0
40,F.N,Lil Tjay,0.562,0.502,6.0,-10.269,0.0,0.255,0.323,0.0,0.0757,0.322,120.104,audio_features,0UPBidRYcgJ2mjZlk08V8x,spotify:track:0UPBidRYcgJ2mjZlk08V8x,https://api.spotify.com/v1/tracks/0UPBidRYcgJ2mjZlk08V8x,https://api.spotify.com/v1/audio-analysis/0UPBidRYcgJ2mjZlk08V8x,224000.0,1.0
41,boyfriend (with Social House),Ariana Grande,0.4,0.795,10.0,-3.731,0.0,0.461,0.119,0.0,0.159,0.702,190.097,audio_features,0Ryd8975WihbObpp5cPW1t,spotify:track:0Ryd8975WihbObpp5cPW1t,https://api.spotify.com/v1/tracks/0Ryd8975WihbObpp5cPW1t,https://api.spotify.com/v1/audio-analysis/0Ryd8975WihbObpp5cPW1t,186107.0,4.0
42,Pop Out (feat. Lil Tjay),Polo G,0.772,0.639,1.0,-7.119,1.0,0.467,0.15,0.0,0.0698,0.261,168.112,audio_features,6uFn47ACjqYkc0jADwEdj1,spotify:track:6uFn47ACjqYkc0jADwEdj1,https://api.spotify.com/v1/tracks/6uFn47ACjqYkc0jADwEdj1,https://api.spotify.com/v1/audio-analysis/6uFn47ACjqYkc0jADwEdj1,166560.0,4.0
45,OFF THE RIP,DaBaby,0.801,0.693,0.0,-4.002,1.0,0.323,0.0104,0.0,0.376,0.602,164.084,audio_features,3e39X4Q74yJzsYUEeyf4ws,spotify:track:3e39X4Q74yJzsYUEeyf4ws,https://api.spotify.com/v1/tracks/3e39X4Q74yJzsYUEeyf4ws,https://api.spotify.com/v1/audio-analysis/3e39X4Q74yJzsYUEeyf4ws,115610.0,4.0
46,POP STAR (feat. Kevin Gates),DaBaby,0.815,0.76,6.0,-4.632,1.0,0.331,0.0242,0.0,0.203,0.729,81.537,audio_features,2TsD9kSbgYx5fSNRsoNURE,spotify:track:2TsD9kSbgYx5fSNRsoNURE,https://api.spotify.com/v1/tracks/2TsD9kSbgYx5fSNRsoNURE,https://api.spotify.com/v1/audio-analysis/2TsD9kSbgYx5fSNRsoNURE,183145.0,4.0
47,Ransom (with Juice WRLD) - Remix,Lil Tecca,0.684,0.671,2.0,-6.424,0.0,0.289,0.0119,0.0,0.0769,0.45,179.987,audio_features,2WsuSYJNXGKXVYkHPnq2yp,spotify:track:2WsuSYJNXGKXVYkHPnq2yp,https://api.spotify.com/v1/tracks/2WsuSYJNXGKXVYkHPnq2yp,https://api.spotify.com/v1/audio-analysis/2WsuSYJNXGKXVYkHPnq2yp,171253.0,4.0
48,Shotta Flow (Feat. Blueface) [Remix],NLE Choppa,0.894,0.511,2.0,-4.768,1.0,0.42,0.0251,0.0,0.14,0.568,120.08,audio_features,67XyC1GdSkKb9sbRRkUDXS,spotify:track:67XyC1GdSkKb9sbRRkUDXS,https://api.spotify.com/v1/tracks/67XyC1GdSkKb9sbRRkUDXS,https://api.spotify.com/v1/audio-analysis/67XyC1GdSkKb9sbRRkUDXS,176632.0,4.0
49,Lover,Taylor Swift,0.359,0.543,7.0,-7.582,1.0,0.0919,0.492,1.58e-05,0.118,0.453,68.534,audio_features,1dGr1c8CrMLDpV6mPbImSI,spotify:track:1dGr1c8CrMLDpV6mPbImSI,https://api.spotify.com/v1/tracks/1dGr1c8CrMLDpV6mPbImSI,https://api.spotify.com/v1/audio-analysis/1dGr1c8CrMLDpV6mPbImSI,221307.0,4.0
50,Dance Monkey,Tones and I,0.824,0.588,6.0,-6.4,0.0,0.0924,0.692,0.000104,0.149,0.513,98.027,audio_features,5ZULALImTm80tzUbYQYM9d,spotify:track:5ZULALImTm80tzUbYQYM9d,https://api.spotify.com/v1/tracks/5ZULALImTm80tzUbYQYM9d,https://api.spotify.com/v1/audio-analysis/5ZULALImTm80tzUbYQYM9d,209438.0,4.0
53,MIDDLE CHILD,J. Cole,0.837,0.364,8.0,-11.713,1.0,0.276,0.149,0.0,0.271,0.463,123.984,audio_features,2JvzF1RMd7lE3KmFlsyZD8,spotify:track:2JvzF1RMd7lE3KmFlsyZD8,https://api.spotify.com/v1/tracks/2JvzF1RMd7lE3KmFlsyZD8,https://api.spotify.com/v1/audio-analysis/2JvzF1RMd7lE3KmFlsyZD8,213594.0,4.0
54,iPHONE (with Nicki Minaj),DaBaby,0.733,0.574,1.0,-6.409,0.0,0.266,0.243,0.0,0.231,0.305,159.987,audio_features,3GX2hFAekmSduZzcS52OnR,spotify:track:3GX2hFAekmSduZzcS52OnR,https://api.spotify.com/v1/tracks/3GX2hFAekmSduZzcS52OnR,https://api.spotify.com/v1/audio-analysis/3GX2hFAekmSduZzcS52OnR,191920.0,4.0
55,XXL,DaBaby,0.914,0.655,6.0,-5.333,0.0,0.294,0.00245,0.0,0.0817,0.705,143.975,audio_features,4LH1gsNA3wUS6QKkGZoJN8,spotify:track:4LH1gsNA3wUS6QKkGZoJN8,https://api.spotify.com/v1/tracks/4LH1gsNA3wUS6QKkGZoJN8,https://api.spotify.com/v1/audio-analysis/4LH1gsNA3wUS6QKkGZoJN8,153863.0,4.0
56,Talk (feat. Disclosure),Khalid,0.901,0.4,0.0,-8.575,1.0,0.126,0.051,0.0,0.0599,0.346,135.984,audio_features,6TqXcAFInzjp0bODyvrWEq,spotify:track:6TqXcAFInzjp0bODyvrWEq,https://api.spotify.com/v1/tracks/6TqXcAFInzjp0bODyvrWEq,https://api.spotify.com/v1/audio-analysis/6TqXcAFInzjp0bODyvrWEq,197573.0,4.0
57,Behind Barz - Bonus,Drake,0.854,0.554,8.0,-4.684,1.0,0.172,0.769,1.84e-06,0.0749,0.272,142.069,audio_features,5r7WvQtyPfy1xch5zMgGRp,spotify:track:5r7WvQtyPfy1xch5zMgGRp,https://api.spotify.com/v1/tracks/5r7WvQtyPfy1xch5zMgGRp,https://api.spotify.com/v1/audio-analysis/5r7WvQtyPfy1xch5zMgGRp,163121.0,4.0
58,REALLY (feat. Stunna 4 Vegas),DaBaby,0.943,0.654,1.0,-5.175,1.0,0.274,0.0552,0.0,0.0893,0.608,100.091,audio_features,7vxGCUPJhe0fXfBkwVPFcP,spotify:track:7vxGCUPJhe0fXfBkwVPFcP,https://api.spotify.com/v1/tracks/7vxGCUPJhe0fXfBkwVPFcP,https://api.spotify.com/v1/audio-analysis/7vxGCUPJhe0fXfBkwVPFcP,139500.0,4.0
59,A Thousand Bad Times,Post Malone,0.632,0.732,6.0,-3.498,1.0,0.092,0.105,1.15e-05,0.111,0.317,159.0,audio_features,2J0NXdHr6MYvKDSxB7k3V2,spotify:track:2J0NXdHr6MYvKDSxB7k3V2,https://api.spotify.com/v1/tracks/2J0NXdHr6MYvKDSxB7k3V2,https://api.spotify.com/v1/audio-analysis/2J0NXdHr6MYvKDSxB7k3V2,221173.0,4.0
60,Liar,Camila Cabello,0.74,0.498,11.0,-6.684,0.0,0.0456,0.0169,0.00282,0.319,0.652,98.016,audio_features,7LzouaWGFCy4tkXDOOnEyM,spotify:track:7LzouaWGFCy4tkXDOOnEyM,https://api.spotify.com/v1/tracks/7LzouaWGFCy4tkXDOOnEyM,https://api.spotify.com/v1/audio-analysis/7LzouaWGFCy4tkXDOOnEyM,207039.0,4.0
61,You Need To Calm Down,Taylor Swift,0.771,0.671,2.0,-5.617,1.0,0.0553,0.00929,0.0,0.0637,0.714,85.026,audio_features,6RRNNciQGZEXnqk8SQ9yv5,spotify:track:6RRNNciQGZEXnqk8SQ9yv5,https://api.spotify.com/v1/tracks/6RRNNciQGZEXnqk8SQ9yv5,https://api.spotify.com/v1/audio-analysis/6RRNNciQGZEXnqk8SQ9yv5,171360.0,4.0
62,I Don't Care (with Justin Bieber),Ed Sheeran,0.798,0.675,6.0,-5.041,1.0,0.0442,0.0912,0.0,0.0894,0.842,101.956,audio_features,3HVWdVOQ0ZA45FuZGSfvns,spotify:track:3HVWdVOQ0ZA45FuZGSfvns,https://api.spotify.com/v1/tracks/3HVWdVOQ0ZA45FuZGSfvns,https://api.spotify.com/v1/audio-analysis/3HVWdVOQ0ZA45FuZGSfvns,219947.0,4.0
63,Love Me,Lil Tecca,0.719,0.538,11.0,-6.897,0.0,0.28,0.632,0.0,0.135,0.803,204.132,audio_features,4e0FYxSROat25pH16zMTZI,spotify:track:4e0FYxSROat25pH16zMTZI,https://api.spotify.com/v1/tracks/4e0FYxSROat25pH16zMTZI,https://api.spotify.com/v1/audio-analysis/4e0FYxSROat25pH16zMTZI,117013.0,4.0
64,It's You,Ali Gatie,0.732,0.463,11.0,-6.972,0.0,0.0287,0.374,0.0,0.194,0.397,95.971,audio_features,6moU77g9RQyMzHNuKEaQKq,spotify:track:6moU77g9RQyMzHNuKEaQKq,https://api.spotify.com/v1/tracks/6moU77g9RQyMzHNuKEaQKq,https://api.spotify.com/v1/audio-analysis/6moU77g9RQyMzHNuKEaQKq,212607.0,4.0
65,PROLLY HEARD,DaBaby,0.884,0.783,1.0,-2.388,1.0,0.294,0.0744,0.0,0.12,0.929,124.052,audio_features,0O7mJ0noFBLn8MMUJrFaF1,spotify:track:0O7mJ0noFBLn8MMUJrFaF1,https://api.spotify.com/v1/tracks/0O7mJ0noFBLn8MMUJrFaF1,https://api.spotify.com/v1/audio-analysis/0O7mJ0noFBLn8MMUJrFaF1,143226.0,4.0
66,Heartless (feat. Morgan Wallen),Diplo,0.764,0.555,11.0,-6.414,1.0,0.0604,0.275,0.0,0.0824,0.255,111.004,audio_features,0rFQ5cKYJ9WtHSKp9sxVYt,spotify:track:0rFQ5cKYJ9WtHSKp9sxVYt,https://api.spotify.com/v1/tracks/0rFQ5cKYJ9WtHSKp9sxVYt,https://api.spotify.com/v1/audio-analysis/0rFQ5cKYJ9WtHSKp9sxVYt,169227.0,4.0
67,Stuck In A Dream (feat. Gunna),Lil Mosey,0.753,0.652,10.0,-5.943,0.0,0.0753,0.444,0.0,0.117,0.745,139.962,audio_features,5hDAT527wXWNBnJlujhuUs,spotify:track:5hDAT527wXWNBnJlujhuUs,https://api.spotify.com/v1/tracks/5hDAT527wXWNBnJlujhuUs,https://api.spotify.com/v1/audio-analysis/5hDAT527wXWNBnJlujhuUs,123560.0,4.0
69,Swervin (feat. 6ix9ine),A Boogie Wit da Hoodie,0.581,0.662,9.0,-5.239,1.0,0.303,0.0153,0.0,0.111,0.434,93.023,audio_features,1wJRveJZLSb1rjhnUHQiv6,spotify:track:1wJRveJZLSb1rjhnUHQiv6,https://api.spotify.com/v1/tracks/1wJRveJZLSb1rjhnUHQiv6,https://api.spotify.com/v1/audio-analysis/1wJRveJZLSb1rjhnUHQiv6,189487.0,4.0
70,Motivation,Normani,0.599,0.887,4.0,-3.967,1.0,0.0984,0.0192,1.21e-06,0.3,0.881,170.918,audio_features,0rIAC4PXANcKmitJfoqmVm,spotify:track:0rIAC4PXANcKmitJfoqmVm,https://api.spotify.com/v1/tracks/0rIAC4PXANcKmitJfoqmVm,https://api.spotify.com/v1/audio-analysis/0rIAC4PXANcKmitJfoqmVm,193837.0,4.0
71,Going Bad (feat. Drake),Meek Mill,0.889,0.496,4.0,-6.365,0.0,0.0905,0.259,0.0,0.252,0.544,86.003,audio_features,2IRZnDFmlqMuOrYOLnZZyc,spotify:track:2IRZnDFmlqMuOrYOLnZZyc,https://api.spotify.com/v1/tracks/2IRZnDFmlqMuOrYOLnZZyc,https://api.spotify.com/v1/audio-analysis/2IRZnDFmlqMuOrYOLnZZyc,180522.0,4.0
72,Old Town Road - Remix,Lil Nas X,0.878,0.619,6.0,-5.56,1.0,0.102,0.0533,0.0,0.113,0.639,136.041,audio_features,2YpeDb67231RjR0MgVLzsG,spotify:track:2YpeDb67231RjR0MgVLzsG,https://api.spotify.com/v1/tracks/2YpeDb67231RjR0MgVLzsG,https://api.spotify.com/v1/audio-analysis/2YpeDb67231RjR0MgVLzsG,157067.0,4.0
73,Lonely (with Jonas Brothers),Diplo,0.742,0.737,1.0,-5.149,1.0,0.0554,0.0484,0.0,0.16,0.52,98.057,audio_features,4fwo6czG5nvOQMzhOto1ya,spotify:track:4fwo6czG5nvOQMzhOto1ya,https://api.spotify.com/v1/tracks/4fwo6czG5nvOQMzhOto1ya,https://api.spotify.com/v1/audio-analysis/4fwo6czG5nvOQMzhOto1ya,141813.0,4.0
74,One Thing Right,Marshmello,0.659,0.623,4.0,-2.253,1.0,0.0451,0.0667,0.0,0.582,0.439,88.042,audio_features,4hPpVbbakQNv8YTHYaOJP4,spotify:track:4hPpVbbakQNv8YTHYaOJP4,https://api.spotify.com/v1/tracks/4hPpVbbakQNv8YTHYaOJP4,https://api.spotify.com/v1/audio-analysis/4hPpVbbakQNv8YTHYaOJP4,181824.0,4.0
75,I.F.L.Y.,Bazzi,0.812,0.519,2.0,-4.823,1.0,0.0385,0.379,0.0,0.13,0.554,104.954,audio_features,4a6q8CR2hzLk2plDkSxkfD,spotify:track:4a6q8CR2hzLk2plDkSxkfD,https://api.spotify.com/v1/tracks/4a6q8CR2hzLk2plDkSxkfD,https://api.spotify.com/v1/audio-analysis/4a6q8CR2hzLk2plDkSxkfD,165714.0,4.0
76,SICKO MODE,Travis Scott,0.834,0.73,8.0,-3.714,1.0,0.222,0.00513,0.0,0.124,0.446,155.008,audio_features,2xLMifQCjDGFmkHkpNLD9h,spotify:track:2xLMifQCjDGFmkHkpNLD9h,https://api.spotify.com/v1/tracks/2xLMifQCjDGFmkHkpNLD9h,https://api.spotify.com/v1/audio-analysis/2xLMifQCjDGFmkHkpNLD9h,312820.0,4.0
77,SLOW DANCING IN THE DARK,Joji,0.515,0.479,3.0,-7.458,1.0,0.0261,0.544,0.00598,0.191,0.284,88.964,audio_features,0rKtyWc8bvkriBthvHKY8d,spotify:track:0rKtyWc8bvkriBthvHKY8d,https://api.spotify.com/v1/tracks/0rKtyWc8bvkriBthvHKY8d,https://api.spotify.com/v1/audio-analysis/0rKtyWc8bvkriBthvHKY8d,209274.0,4.0
